id,adresat,miejsce_wzmiankowane,osoba_prawdopodobnie_wzmiankowana,osoba_wzmiankowana
89,"['Grzymała, Wojciech']",,,"['Dudevant, Solange', 'Rozières, Marie de', 'Sand, George']"
115,,,,
177,"['Franchomme, August']","[""9, square d'Orléans""]",,"['Franchomme, Amélie', 'Stirling, Jane Wilhelmina']"
151,"['Rozières, Marie de']","['Gdańsk (7007660)', 'Hamburg (7005289)', 'Szczecin (7007809)', 'Toruń (7007831)']",,"['Beethoven, Ludwig van', 'Dudevant, Solange', 'Jędrzejewiczowa, Ludwika', 'Leroux, Pierre', 'Sand, George']"
152,"['Jędrzejewiczowa, Ludwika']","['Kraków', 'Wiedeń (7003321)']",,"['Barcińska, Izabella', 'Chatiron, Hippolyte', 'Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Dudevant, Solange', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Maréchal, Lucie', 'Sand, Maurice', 'Skarbkowa, Pelagia', 'Villetard, Clotilde Elisabeth']"
156,"['Rozières, Marie de']",['Warszawa'],,"['Franchomme, August', 'Jędrzejewicz, Henryk', 'Jędrzejewiczowa, Ludwika', 'Léo, Auguste']"
157,"['Rozières, Marie de']","[""9, square d'Orléans"", 'Paryż (7008038)']",,"['Bach, Jan Sebastian', 'Chopin, Justyna', 'Dudevant, Solange', 'Jędrzejewiczowa, Ludwika', 'Perrichet']"
159,"['Chopin, Fryderyk']",['Frankfurt'],,"['Mendelssohn-Bartholdy, Cécile']"
160,"['Rozières, Marie de']",['Paryż (7008038)'],,
168,"['Rozières, Marie de']",,,
189,"['Witwicki, Stefan']",['Nohant'],,"['Chopin, Fryderyk', 'Dudevant, Solange', 'Mickiewicz, Adam', 'Sand, Maurice']"
190,"['Witwicki, Stefan']","['Polska', 'Wiedeń']",,"['Chopin, Justyna', 'Delacroix, Eugène', 'Grzymała, Wojciech', 'Jędrzejewiczowa, Ludwika', 'Mickiewicz, Adam', 'Sand, George', 'Towiański, Adam', 'Zaleski, Józef Bohdan']"
201,,"['Abbeville', 'Baltimore', 'Berlin', 'Bonn', 'Bordeaux', 'Champ-de-Mars', 'Champs-Élysées, Avenue des', 'Châteauroux', 'Havre', 'Indre', 'Luwr', 'Madeleine, la', 'Missouri River', 'Montmartre', 'Ogród Tuileryjski', 'Paryż', 'Seine', 'Washington (7013962)', 'Wiedeń']",,"['Barcińska, Izabella', 'Barciński, Antoni', 'Beethoven, Ludwig van', 'Bełza, Józef', 'Bouillon, Godefroi de', 'Chatiron, Hippolyte', 'Cherubini, Luigi', 'Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Delaroche, Paul', 'Deschamps, Antony', 'Donizetti, Gaetano', 'Drouet, Juliette', 'Dudevant, Solange', 'Dziewanowski, Dominik', 'Elsner, Józef', 'Ferdinand Philippe, Duke of Orleans', 'Franchomme, August', 'Françoise (pokojowa George Sand)', 'Grzymała, Wojciech', 'Gutmann, Adolf', 'Habeneck, François-Antoine', 'Hoffmanowa, Klementyna', 'Hugo, Adèle', 'Hugo, Adèle', 'Hugo, Charles', 'Hugo, François-Victor', 'Hugo, Léopoldine', 'Hugo, Victor', 'Jan (służący Fryderyka Chopina)', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Lamartine, Alphonse de', 'Lamartine, Élisa de', 'Lassus, Jean-Baptiste-Antoine', 'Lebas, Louis Hippolyte', 'Lesueur, Jean-François', 'Letronne, Jean-Antoine', 'Liszt, Ferenc', 'Marjolin, Jean Nicolas', 'Marochetti, Baron Carlo', 'Matuszyński, Jan', 'Nowakowski, Józef', 'Obreskow, Natalia (księżna)', 'Orléans, Louis Charles Philippe Raphaël (duc de Nemours)', 'Paër, Ferdinando', 'Pergolesi, Giovanni Battista', 'Prießnitz, Vinzenz', 'Préault, Antoine-Augustin', 'Rozières, Marie de', 'Sand, George', 'Sand, Maurice', 'Saxe-Cobourg-Koháry, Victoire de (duchesse de Nemours)', 'Skarbek, Fryderyk (hrabia)', 'Souzzo, Catherine de (księżna)', 'Spohr, Louis', 'Suzanne (kucharka George Sand)', 'Thiers, Adolphe', 'Viardot, Louis', 'Viardot, Paulina', 'Woyciechowski, Tytus']"
206,"['Léo, Auguste']",,,
209,"['Rozières, Marie de']",['Chenonceaux'],,
213,"['Barcińska, Izabella', 'Jędrzejewicz, Józef Kalasanty']","['Berlin', 'Chenonceaux', 'Cher', 'Dom George Sand (Nohant)', 'Drezno', 'France', 'Gascogne', 'Italia', 'Lipsk', 'Luwr', 'Paryż (7008038)', 'Seine', 'Warszawa']","['Dupin, Claude', 'Dupin, Louise Marie Madeleine', 'Leroux, Pierre']","['Albrecht, Thomas', 'Albrecht, Thérèse', 'Balfe, Michael William', 'Barciński, Antoni', 'Bohier, Thomas', 'Calderón de la Barca, Pedro', 'Catherine de Médicis, Queen consort of Henry II', 'Chopin, Justyna', 'Corneille, Pierre', 'Delaroche, Anne Elizabeth Louise', 'Dorval, Marie', 'Dudevant, Casimir', 'Dudevant, Solange', 'Dupin de Francueil, Louis', ""Ennery, Adolphe d'"", 'Franchomme, August', 'Francis I, King of France', 'Gavard, Charles', 'Gavarni, Paul', 'Grandville', 'Gutmann, Adolf', 'Horsford, Laura', 'Jan (służący Fryderyka Chopina)', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewiczowa, Ludwika', 'Kalergis, Maria', 'La Fontaine, Jean de', 'Liszt, Ferenc', 'Lorraine, Louise de (królowa)', 'Louis XV, King of France', 'Lucas, Hippolyte', 'Lucie (służąca George Sand)', 'Léo, Auguste', 'Mably, Gabriel Bonnot de', 'Massillon, Jean-Baptiste', 'Meyerbeer, Giacomo', 'Montesquieu, Baron de', 'Perthuis, Émilie de (hrabina)', 'Pierre (służący Fryderyka Chopina)', 'Poussin, Nicolas', 'Rafael', 'Rousseau, Jean Jacques', 'Rozières, Marie de', 'Rubens, Peter Paul', 'Sand, George', 'Sand, Maurice', 'Stockhausen, von (baronowa)', 'Stoltz, Rosine', 'Suzanne (kucharka George Sand)', 'Verdi, Giuseppe', 'Vernet, Horace', 'Villeneuve, René Vallet de', 'Voltaire']"
223,"['Rozières, Marie de']","[""9, square d'Orléans""]",,"['Chopin, Justyna', 'Mozart, Wolfgang Amadeusz', 'Sand, Maurice']"
235,"['Franchomme, August']",,,
237,,"[""9, square d'Orléans"", 'Aranjuez', 'Berlin', 'Bordeaux', 'Bourgogne', 'Bruksela', 'Frankfurt', 'Gascogne', 'Genua', 'Grignon', 'Italia', 'Lisbon', 'Londyn', 'Madrid', 'Neapol (7004474)', 'Neptune', 'Paryż', 'Portugal', 'Roma', 'Royal Opera House', 'Vallée Noire', 'Versailles', 'Wisła']","['Dziewanowska, Józefa']","['Albert, Prince of Schleswig-Holstein-Glücksburg', 'Arago, François', 'Barcińska, Izabella', 'Barcińska, Małgorzata', 'Barciński, Walenty', 'Berlioz, Hector', 'Bełza, Józef', 'Borbón, Francisco de Asís de (King, consort of Isabella II)', 'Boulanger, Louis', 'Brault, Augustine', 'Charles III, King of Spain', 'Chopin, Justyna', 'Coletti, Filippo', 'Colonna-Walewski, Aleksander (książę)', 'Columbus, Christopher', 'Czosnowska, Laura (hrabina)', 'Dmuszewski, Ludwik Adam', 'Dudevant, Solange', 'Dumas, Alexandre', 'Dumas, Alexandre (syn)', 'Faber, Joseph', 'Galle, Johann Gottfried', 'Garcia, Joaquina', 'Grisi, Giulia', 'Habeneck, François-Antoine', 'Haydn, Józef', 'Herschel, William', 'Hind, John', 'Isabella II, Queen of Spain', 'Jan (służący Fryderyka Chopina)', 'Joinville, Francisca de (Princess of Brazil)', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Krasicki, Ignacy', 'Lablache, Luigi', 'Le Verrier, Urbain Jean-Joseph', 'Lind, Jenny', 'Ludwik Filip I (król Francuzów)', 'Lumley, Benjamin', 'Maquet, Auguste', 'Mario, Giovanni', 'María Luisa Fernanda de Borbón', 'Matuszyński, Jan', 'Nowakowski, Józef', 'Orléans, Antoine de', 'Persiani, Fanny', 'Pillet, Léon', 'Pišek, Jan Křtitel', 'Poniatowski, Józef Michał (książę)', 'Préaulx, Fernand de', 'Rachel Félix, Élisabeth', 'Ricci, Isabella di (Księżna)', 'Rossini, Gioacchino', 'Rozières, Marie de', 'Sabran, Elzéar de', 'Salvandy, Narcisse-Achille de (comte)', 'Sand, George', 'Sand, Maurice', 'Schönbein, Christian Friedrich', 'Skarbek, Fryderyk (hrabia)', 'Vaucanson, Jacques de', 'Viardot, Louis', 'Viardot, Paulina', 'Vico, Francesco de', 'Victoria, Queen of Great Britain', 'Walewska, Anna Maria (księżna)', 'Woyciechowski, Tytus']"
241,"['Sand, George']",,,"['Arago, Emmanuel', ""Arpentigny, Casimir Stanislas d'"", 'Aubertin, Charles', 'Delacroix, Eugène', 'Ducroc de Brassac, Marie Thérèse', 'Dudevant, Solange', 'Grzymała, Wojciech', 'Marliani, Charlotte', 'Montaran, Marie Constance Albertine de (baronowa)', 'Pierre', 'Sand, Maurice']"
250,"['Sand, George']",['Hôtel Lambert'],,"['Arago, Emmanuel', 'Bonnechose, Eugénie de', 'Delacroix, Eugène', 'Grzymała, Wojciech', 'Marliani, Charlotte']"
263,"['Grzymała, Wojciech']",,,"['Arago, Emmanuel', 'Delacroix, Eugène', 'Dudevant, Solange', 'Franchomme, August', 'Sand, George', 'Sand, Maurice']"
269,,"['Bordeaux (7008161)', 'Drezno (7004455)', 'Faubourg Saint-Germain', 'New Orleans', 'Nice (7008773)', 'Orlean', 'Paryż', 'Posiadłość George Sand (Nohant)', 'Roma (7003138)', 'Sicilia']","['Grzymała, Wojciech', 'Turczynowicz, Roman']","['Alkan, Charles-Valentin', 'Barcińska, Izabella', 'Barciński, Antoni', 'Barciński, Jan', 'Bertholdi, Augustine Marie', 'Chopin, Justyna', 'Clésinger, Jean-Baptiste', 'Couture, Thomas', 'Czartoryska, Anna', 'Czartoryski, Adam Jerzy', 'Czosnowska, Laura (hrabina)', 'David, Félicien', 'Delacroix, Eugène', 'Dudevant, Solange', 'Durrieu, Xavier', 'Duvert, Félix-Auguste', 'Franchomme, Amélie', 'Franchomme, August', 'Franchomme, Cécile', 'Franchomme, Louise', 'Franchomme, René', 'Gossec, François-Joseph', 'Gutmann, Adolf', 'Janin, Jules', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Kolberg, Oskar', 'Lablache, Luigi', 'Legouvé, Ernest', 'Lucie (służąca George Sand)', 'Léo, Auguste', 'María Cristina, Queen consort of Ferdinand VII', 'Nowakowski, Józef', 'Perthuis, de (hrabia)', 'Perthuis, Émilie de (hrabina)', 'Pleyel, Camille', 'Potocka, Delfina', 'Préaulx, Fernand de', 'Rachel Félix, Élisabeth', 'Rosengardt-Zaleska, Zofia', 'Rothschild, Charlotte (baronowa)', 'Rozières, Marie de', 'Rzyszczewska, Michalina', 'Sand, George', 'Sand, Maurice', 'Scheffer, Ary', 'Stefani, Józef', 'Vieuxtemps, Henri', 'Wernik, Kazimierz', 'Wirtemberska, Maria', 'Witwicki, Stefan', 'Woyciechowski, Tytus', 'Zaleski, Józef Bohdan']"
268,"['Sand, George']",,,"['Sand, Maurice']"
1378,,,,
299,"['Dudevant, Solange']",,,
306,,"['Drezno (7004455)', 'Gascogne', 'Nohant', 'Paryż (7008038)']",,"['Barcińska, Izabella', 'Barciński, Antoni', 'Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Clésinger, Jean-Baptiste', 'Czosnowska, Laura (hrabina)', 'Dudevant, Casimir', 'Dudevant, Solange', 'Duvernet, Charles', 'Gavard, Charles', 'Grzymała, Wojciech', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Kalergis, Maria', 'Marliani, Charlotte', 'Obreskow, Natalia (księżna)', 'Olizar, Karol', 'Ramm, Jadwiga', 'Rozières, Marie de', 'Rzyszczewska, Michalina', 'Sand, George', 'Sand, Maurice', 'Skarbek, Fryderyk (hrabia)', 'Stirling, Jane Wilhelmina']"
304,"['Dudevant, Solange']",,,
309,,"['Gascogne', 'Posiadłość George Sand (Nohant)', 'Tulle']",,"['Albrecht, Thomas', 'Bertholdi, Augustine Marie', 'Borie, Victor', 'Clésinger, Jean-Baptiste', 'Dudevant, Casimir', 'Dudevant, Solange', 'Gavard, Charles', 'Jędrzejewiczowa, Ludwika', 'Lambert, Eugène', 'Ludwik Filip I (król Francuzów)', 'Léo, Auguste', 'Marie-Amélie, Queen consort of Louis-Philippe', 'María Luisa Fernanda de Borbón', 'Mecklembourg-Schwerin, Hélène de (księżna)', 'Orléans, Antoine de', 'Perthuis, de (hrabia)', 'Pleyel, Camille', 'Rozières, Marie de', 'Sand, George', 'Sand, Maurice']"
310,"['Barcińska, Izabella', 'Chopin, Justyna', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika']","['Brest', 'Kraków', 'Nantes', 'Paryż (7008038)', 'Seine (7009707)']","['Barciński, Jan']","['Alard, Jean-Delphin', 'Barciński, Antoni', 'Franchomme, August', 'Mozart, Wolfgang Amadeusz', 'Nowakowski, Józef', 'Pleyel, Camille', 'Potocka, Katarzyna (hrabina)', 'Wernik, Kazimierz', 'Witwicki, Stefan']"
328,"['Grzymała, Wojciech']",,,"['Erskine, Katherine', 'Ludwik Filip I (król Francuzów)', 'Stirling, Jane Wilhelmina']"
329,"['Szulczewski, Karol']",,,
336,"['Grzymała, Wojciech']","['Bayern', 'Bois de Boulogne', 'Londyn', 'Paryż', 'Polska']",,"['Albert, Prince of Schleswig-Holstein-Glücksburg', 'Alboni, Marietta', 'Arago, Emmanuel', 'Broadwood, Henry Fowler', 'Chojecki, Edmund', 'Clésinger, Jean-Baptiste', 'Dudevant, Solange', 'Erskine, Katherine', 'Guizot, François', 'Gutmann, Adolf', 'Harriet Leveson-Gower, Duchess of Sutherland', 'Lind, Jenny', 'Liszt, Ferenc', 'Mendelssohn-Bartholdy, Felix', 'Sand, George', 'Somerset, Georgiana', 'Stirling, Jane Wilhelmina', 'Viardot, Louis', 'Viardot, Paulina', 'Victoria, Queen of Great Britain']"
340,"['Grzymała, Wojciech']","['France', 'Italia', 'Liverpool', 'Paryż', 'Polska', 'Russia', 'Scotland']",,"['Broadwood, Henry Fowler', 'Cichowski, Adolf', 'Clésinger, Jean-Baptiste', 'Dudevant, Solange', 'Erskine, Katherine', 'Gutmann, Adolf', 'Harriet Leveson-Gower, Duchess of Sutherland', 'Rozières, Marie de', 'Sand, George', 'Stirling, Jane Wilhelmina', 'Viardot, Paulina', 'Victoria, Queen of Great Britain']"
345,"['Fontana, Julian']",['Londyn (7011781)'],,"['Hénique, Frédéric', 'Matuszyński, Jan', 'Stradivari, Antonio', 'Witwicki, Stefan', 'Wodziński, Antoni']"
348,"['Grzymała, Wojciech']","[""9, square d'Orléans"", 'Edynburg', 'Glasgow', 'Londyn', 'Long Loch', 'Manchester', 'Oostende', 'Pyrénées', 'Scotland']",,"['Albrecht, Thomas', 'Dudevant, Solange', 'Erskine, Katherine', 'Houston, Ann', 'Houston, Ludovic', 'Lind, Jenny', 'Léo, Auguste', 'Madame Etienne', 'Mary, Queen of Scots', 'Mickiewicz, Adam', 'Murray, Mary (Lady)', 'Ostrowski, Krystyn', 'Rich, Mary', 'Rozières, Marie de', 'Sand, George', 'Schwabe, Salis', 'Stirling, Jane Wilhelmina', 'Łyszczyński, Adam']"
351,"['Rozières, Marie de']",,,
352,"['Grzymała, Wojciech']","['Dublin (7001306)', 'Edynburg (7009546)', 'Glasgow', 'Keir House']",,"['Alboni, Marietta', 'Delacroix, Eugène', 'Grisi, Giulia', 'Grote, Harriet', 'Lind, Jenny', 'Mario, Giovanni', 'Roger, Gustave', 'Rozières, Marie de', 'Łyszczyński, Adam']"
358,"['Rozières, Marie de']",,,
378,"['Grzymała, Wojciech']","[""9, square d'Orléans"", 'Bretagne (7024267)', 'Saint-Germain-en-Laye', 'Versailles', 'Warszawa']",,"['Cichowski, Adolf', 'Fraenkel, dr', 'Grzymała, Wincenty Władysław', 'Obreskow, Natalia (księżna)', 'Potocka, Delfina', 'Sapieha, Jadwiga Klementyna (księżna)', 'Zaleski, Józef Bohdan']"
379,,"['74, rue de Chaillot', ""9, square d'Orléans"", 'Paryż (7008038)']",,"['Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Obreskow, Natalia (księżna)', 'Rozières, Marie de']"
387,"['Grzymała, Wojciech']",,,"['Alexis', 'Czartoryska, Anna', 'Czartoryski, Władysław (książę)', 'Działyńska, Izabella (hrabina)', 'Erskine, Katherine', 'Jędrzejewiczowa, Ludwika', 'Madame Etienne', 'Orda, Napoleon', 'Stirling, Jane Wilhelmina', 'Wirtemberska, Maria']"
389,"['Grzymała, Wojciech']","['België', 'Chaillot', 'Saint-Germain-en-Laye']",,"['Breguet, Abraham Louis', 'Cichowski, Adolf', 'Clésinger, Jean-Baptiste', 'Clésinger, Jeanne-Gabrielle', 'Dudevant, Solange', 'Etienne', 'Franchomme, August', 'Herbault, Édouard', 'Jędrzejewiczowa, Ludwika', 'Obreskow, Natalia (księżna)', 'Rozières, Marie de', 'Sapieha, Jadwiga Klementyna (księżna)', 'Stirling, Jane Wilhelmina']"
1375,"['Barcińska, Izabella']",,,
1472,,,,"['Barcińska, Izabella', 'Cavendish, William (4. diuk Devonshire)', 'Chopin, Justyna', 'Czartoryska, Marcelina (księżna)', 'Elsner, Józef', 'Franchomme, August', 'Gutmann, Adolf', 'Juanna Camila, Fontana', 'Jędrzejewiczowa, Ludwika', 'Mickiewicz, Adam', 'Mozart, Wolfgang Amadeusz', 'Pitt, William (1. hrabia Chatham)', 'Stirling, Jane Wilhelmina', 'Witwicki, Stefan']"
1376,"['Barcińska, Izabella']",,,
1499,"['Barcińska, Izabella']",,,
1501,"['Barcińska, Izabella']",,,
1497,"['Barcińska, Izabella']",,,"['Bach, Jan Sebastian', 'Beethoven, Ludwig van', 'Brahms, Johannes', 'Chopin, Fryderyk', 'Liszt, Ferenc', 'Mendelssohn-Bartholdy, Felix', 'Mozart, Wolfgang Amadeusz', 'Reinecke, Carl']"
1494,"['Barcińska, Izabella']",['Warszawa'],,"['Chopin, Fryderyk']"
1496,"['Barcińska, Izabella']",,,
1478,"['Barcińska, Izabella']",,,
1393,"['Fontana, Julian']",,,"['Schunke, Charles', 'Witwicki, Stefan']"
1498,"['Jędrzejewiczowa, Ludwika']",,,
1495,"['Chopin, Fryderyk']",['Londyn (7011781)'],,
